source,author,title,description,url,urlToImage,publishedAt,content,date
"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Somdeep Sen,"Darker days lay ahead for opposition, minorities after India’s election","Modi-led Hindu nationalists are set to win the election, and will likely use their new mandate to increase repression.",https://www.aljazeera.com/opinions/2024/5/31/darker-days-lay-ahead-for-opposition-minorities-after-indias-election,https://www.aljazeera.com/wp-content/uploads/2024/05/2024-05-22T101829Z_758734618_RC2WW6AVRSCG_RTRMADP_3_INDIA-ELECTION-MODI-LOOKALIKES-1716442796.jpg?resize=1920%2C1440,2024-05-31T12:20:12Z,"For many commentators, an unequivocal victory for Narendra Modi and his Hindu nationalist Bharatiya Janata Party (BJP) is the foregone conclusion of the ongoing Indian general elections. They insist … [+6632 chars]",2024-05-31
"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Sarah Shamim,Election results: How have India’s past coalition governments fared?,"PM Modi faces the test of ruling a coalition government. It won't be easy, say analysts. But the past holds lessons.",https://www.aljazeera.com/news/2024/6/7/election-results-how-have-indias-past-coalition-governments-fared,https://www.aljazeera.com/wp-content/uploads/2024/06/GettyImages-1017648412-1717669038.jpg?resize=1200%2C630,2024-06-07T05:52:11Z,Narendra Modi is likely to return as Indias prime minister for a third term but will have to rely on allies to run a coalition government for the first time after his Bharatiya Janata Party (BJP) fel… [+7310 chars],2024-06-07
"{'id': None, 'name': 'Forbes'}","Serge Beck, Forbes Councils Member, 
 Serge Beck, Forbes Councils Member
 https://www.forbes.com/sites/forbestechcouncil/people/sergebeck/",The Impact Of Card Issuance In Today’s Financial Landscape,"The rise of fintech innovations and digital finance has transformed card issuance into a necessity for financial institutions, businesses and startups.",https://www.forbes.com/sites/forbestechcouncil/2024/06/14/the-impact-of-card-issuance-in-todays-financial-landscape/,https://imageio.forbes.com/specials-images/imageserve/62a790ea0860e03dc010acef/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-06-14T10:00:00Z,"Serge Beck is the founder and CEO Omniwire.
getty
Card issuers' ability to provide both virtual and physical cards significantly boosts customer engagement across various sectors, including retail … [+5673 chars]",2024-06-14
"{'id': None, 'name': 'Forbes'}","Nina Seega, Contributor, 
 Nina Seega, Contributor
 https://www.forbes.com/sites/ninaseega/",European Elections: Climate Action Will Deliver On Both Security And The Economy,Over 400 million Europeans will be voting in the June elections. Security and defense are topping manifestos so far - but there is little mention of sustainable finance.,https://www.forbes.com/sites/ninaseega/2024/05/28/european-elections-climate-action-will-deliver-on-both-security-and-the-economy/,https://imageio.forbes.com/specials-images/imageserve/6655ec174f9a5ba6e55b2c7f/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-05-28T14:45:40Z,"WASHINGTON, DC - MARCH 10: U.S. President Joe Biden (R) meets with President of European Commission ... [+] Ursula von der Leyen in 2023.
Getty Images
2024 is the most election-heavy year the world… [+4740 chars]",2024-05-28
"{'id': None, 'name': 'Forbes'}","Yessar Rosendar, Forbes Staff, 
 Yessar Rosendar, Forbes Staff
 https://www.forbes.com/sites/yessarrosendar/",Billionaire Gautam Adani’s Ambuja Cement To Buy Rival For $1.2 Billion Amid India Construction Boom,Indian billionaire Gautam Adani's Ambuja Cement agreed to buy Penna Cement for $1.2 billion amid a construction boom in the subcontinent.,https://www.forbes.com/sites/yessarrosendar/2024/06/14/billionaire-gautam-adanis-ambuja-cement-to-buy-rival-for-12-billion-amid-india-construction-boom/,https://imageio.forbes.com/specials-images/imageserve/666be929f4d5479f51edf64e/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-06-14T07:21:11Z,"India's Adani Group Chairman Gautam Adani leaves after addressing the Vibrant Gujarat Global Summit, ... [+] a business event to attract investments to the Gujarat state, in Gandhinagar, India, Wedne… [+2552 chars]",2024-06-14
"{'id': None, 'name': 'Economictimes.com'}",iStock,"GAIL, Suzlon Energy among 31 new additions by 11 mutual funds in May","Eleven pure equity mutual funds added a total of 31 new stocks in May across market capitalisations. They also increased their holding in 33 stocks during the month, according to a Nuvama note. Together they have bought shares worth Rs 47,700 crore, the note …",https://m.economictimes.com/mf/analysis/gail-suzlon-energy-among-31-new-additions-by-11-mutual-funds-in-may/new-additions/slideshow/111017060.cms,"https://img.etimg.com/thumb/msid-111017060,width-1070,height-580,overlay-etwealthmutualfunds/photo.jpg",2024-06-15T08:21:43Z,"Jun 15, 2024, 01:51:43 PM IST
Eleven pure equity mutual funds added a total of 31 new stocks in May across market capitalisations. They also increased their holding in 33 stocks during the month, ac… [+1191 chars]",2024-06-15
"{'id': 'nbc-news', 'name': 'NBC News'}","Nessa Anwar, CNBC",Global debt has grown to $315 trillion this year — here's how we got here,"The world is mired in $315 trillion of debt, according to a report from the Institute of International Finance.",https://www.nbcnews.com/business/business-news/global-debt-grown-315-trillion-year-got-rcna154581,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2024-05/240529-people-commute-ch-1617-a211a3.jpg",2024-05-29T20:26:22Z,"The world is mired in $315 trillion of debt, according to a report from the Institute of International Finance.
This global debt wave has been the biggest, fastest and most wide-ranging rise in debt… [+1802 chars]",2024-05-29
"{'id': None, 'name': 'Theregister.com'}",Laura Dobberstein,China lands probe Chang'e-6 on the far side of the Moon,"PLUS: Singapore intros AI safety tools; Satya Nadella fined by Indian gov; China stops influencers flaunting bling
ASIA IN BRIEF China's Chang'e-6 Probe has landed on the far side of the Moon on Sunday.…<!--#include virtual='/data_centre/_whitepaper_textlinks…",https://www.theregister.com/2024/06/03/asia_tech_news_roundup/,https://regmedia.co.uk/2024/06/02/supplied_chang_e_6_landing_image.jpg,2024-06-03T00:44:01Z,"ASIA IN BRIEF China's Chang'e-6 Probe has landed on the far side of the Moon on Sunday.
State media reported that an ""autonomous visual obstacle avoidance system"" assessed the ""brightness and darkne… [+4384 chars]",2024-06-03
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Now,BJP focus on threats rather than opportunities unlike INDIA alliance in election narratives: Madhavan Narayanan,"Madhavan Narayanan, a Senior Journalist, discusses the election dynamics . He says for 2014 election was a lot about strong leadership and attempted end to corruption. 2019 was Pulwama and some of the national security issues, along with a certain benefit of …",https://economictimes.indiatimes.com/markets/expert-view/bjp-focus-on-threats-rather-than-opportunities-unlike-india-alliance-in-election-narratives-madhavan-narayanan/articleshow/110454132.cms,"https://img.etimg.com/thumb/msid-110454347,width-1200,height-630,imgsize-52230,overlay-etmarkets/photo.jpg",2024-05-27T05:25:21Z,"Speaking to ET Now, Madhavan Narayanan, Senior Journalist, says that in this election, one differentiating factor is that Congress or the INDIA alliance has been focusing on the opportunities for the… [+7951 chars]",2024-05-27
"{'id': 'business-insider', 'name': 'Business Insider'}",Hallie Lieberman,"The chancellor, his porn films, and the battle for America's soul",Joe Gow and Carmen Wilson filmed themselves having sex with porn stars. Their university was not pleased.,https://www.businessinsider.com/professors-turned-porn-stars-free-speech-campus-battle-wisconsin-2024-6,https://i.insider.com/66635e4bed9a404d829bd79f?width=1200&format=jpeg,2024-06-16T10:00:01Z,"Joe Gow and Carmen Wilson pursued porn as a hobby. Now they're fighting a battle over academic freedom.Simone Lueck for BI
As I'm eating roti in a booth with Joe Gow and his wife, Carmen Wilson, a m… [+25851 chars]",2024-06-16
"{'id': None, 'name': 'Skift'}",Skift,India’s Tourism Setback: Sharp Drop in Travel Ranking Since 2019,"While the future of India's travel and tourism sector looks promising, the reality right now is a bit different and that's exactly what the World Economic Forum's index reflects. -Peden Doma Bhutia",http://skift.com/2024/05/22/indias-tourism-setback-sharp-drop-in-travel-ranking-since-2019/,https://skift.com/wp-content/uploads/2023/12/pexels-photo-3070333-e1702380402718.jpeg,2024-05-22T11:49:05Z,"India has experienced a significant drop in the World Economic Forum’s travel and tourism rankings since 2019, falling 10 places to the 39th position. This decline has come despite the sector’s overa… [+2460 chars]",2024-05-22
"{'id': None, 'name': 'Yahoo Entertainment'}",Ashutosh Joshi,"India Market Buzz: Blackstone’s Deal, Tighter Derivatives Rules",(Bloomberg) -- Before the trading day starts we bring you a daily digest of the key news and events that are likely to move markets.Most Read from...,https://www.yahoo.com/news/india-market-buzz-blackstone-deal-030435678.html,https://media.zenfs.com/en/bloomberg_politics_602/0caaf7d10cbf31bfb64bb265ca6d2ac5,2024-06-10T03:04:35Z,"(Bloomberg) -- Before the trading day starts we bring you a daily digest of the key news and events that are likely to move markets.
Most Read from Bloomberg
Good morning, this is Ashutosh, an equi… [+3110 chars]",2024-06-10
"{'id': None, 'name': 'Project Syndicate'}",Andrew Sheng,Economic Development in an Age of Great-Power Competition,"While major economies plow money into high-tech sectors and impose tit-for-tat trade restrictions, most developing countries’ capacity to finance investment is limited, and they depend on access to global or regional markets to pursue comparative advantage. H…",https://www.project-syndicate.org/commentary/how-developing-economies-can-increase-competitiveness-amid-us-china-trade-war-by-andrew-sheng-and-xiao-geng-2024-05,https://webapi.project-syndicate.org/library/156d319644930267f79cf5e85db5f0a1.2-1-super.1.jpg,2024-05-30T09:47:05Z,"While major economies plow money into high-tech sectors and impose tit-for-tat trade restrictions, most developing countries capacity to finance investment is limited, and they depend on access to gl… [+6865 chars]",2024-05-30
"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Al Jazeera,India’s Modi to take oath as PM for third term with coalition allies,"Coalition partners will demand cabinet positions, but Modi may keep the top jobs for the members of his own party.",https://www.aljazeera.com/news/2024/6/9/indias-modi-to-take-oath-as-pm-for-third-term-with-coalition-allies,https://www.aljazeera.com/wp-content/uploads/2024/06/2024-06-07T134059Z_1580070459_RC2D68AE17J0_RTRMADP_3_INDIA-ELECTION-MODI-1717787179.jpg?resize=1920%2C1440,2024-06-09T08:19:40Z,"Indias Narendra Modi is set to be sworn in as the prime minister for a third term in power, but alongside a set of allies with whom he has formed a coalition after his party failed to get a majority … [+3229 chars]",2024-06-09
"{'id': None, 'name': 'Ritholtz.com'}",Barry Ritholtz,Transcript: Anand Giridharadas,"﻿     The transcript from this week’s, MiB: Anand Giridharadas on Persuasion in a Free Societ, is below. You can stream and download our full conversation, including any podcast extras, on Apple Podcasts, Spotify, YouTube, and Bloomberg. All of our earlier po…",https://ritholtz.com/2024/05/transcript-anand-giridharadas/,https://ritholtz.com/wp-content/uploads/2023/02/Mib-tile.png,2024-05-27T13:00:55Z,"The transcript from this weeks, MiB: Anand Giridharadas on Persuasion in a Free Societ, is below.
You can stream and download our full conversation, including any podcast extras, on Apple Podcasts, … [+67790 chars]",2024-05-27
"{'id': None, 'name': 'Yahoo Entertainment'}",editorial-team@simplywallst.com (Simply Wall St),AU Small Finance Bank And Two More Indian Growth Companies With High Insider Stakes,"Amidst the ebbs and flows of political campaigns and voter turnout debates, India's stock market has shown resilience, reflecting investor confidence in the ...",https://finance.yahoo.com/news/au-small-finance-bank-two-010348969.html,https://media.zenfs.com/en/simply_wall_st__316/1762e59d0031dd7c767b613ac375bc3b,2024-06-03T01:03:48Z,"Amidst the ebbs and flows of political campaigns and voter turnout debates, India's stock market has shown resilience, reflecting investor confidence in the continuity of economic policies. In such a… [+5748 chars]",2024-06-03
"{'id': None, 'name': 'CoinDesk'}",Amitoj Singh,"India Springs Election Surprise, Sends Equity Market Crashing With Uncertain Implications for Crypto","India's voters have sprung an election surprise, even though Prime Minister Narendra Modi's party and its allies are poised to return to power, a result that could see the government kick the crypto policy can down the road"" in terms of its priorities.",https://www.coindesk.com/policy/2024/06/04/india-springs-election-surprise-sends-equity-market-crashing-with-uncertain-implications-for-crypto/,https://www.coindesk.com/resizer/oL0rBI8gTExcwyHFrOQXV3wjn7s=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/RNB4BC3PN5HFVPOVYY3O7UXHXQ.jpg,2024-06-04T15:40:45Z,"<ul><li>India's election results are underwhelming for Prime Minister Narendra Modi's ruling party.
</li><li>If Modi is able to persuade his allies to stay, the government will continue, albeit with… [+3165 chars]",2024-06-04
"{'id': None, 'name': 'Yahoo Entertainment'}",Jared Blikre,US markets get an election preview from India and Mexico: Morning Brief,Mexican and Indian markets had some major volatility this week after the former's landslide was bigger than expected and the latter's smaller. But the same...,https://finance.yahoo.com/news/us-markets-get-an-election-preview-from-india-and-mexico-morning-brief-100018165.html,https://s.yimg.com/ny/api/res/1.2/tTOBCQtOtdanHuys7mIy1Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2024-06/c4759580-22b5-11ef-bbdd-3bad973befff,2024-06-05T10:00:18Z,"This is The Takeaway from today's Morning Brief, which you can sign up to receive in your inbox every morning along with:
<ul><li>The chart of the day
</li><li>What we're watching
</li><li>What we… [+2910 chars]",2024-06-05
"{'id': None, 'name': 'SamMobile'}",Abid Iqbal Shaik,Google Discover now shows sunrise and sunset times on your Galaxy phone,"The Google app for Android’s Discover section gives you the option to see four cards: Air quality, Finance, Sport, and Weather. Well, Google has now added one more card to the Discover section of the Google app: Sunrise and Sunset (via 9To5Google). As the nam…",https://www.sammobile.com/news/google-discover-sunrise-sunset-card/,https://www.sammobile.com/wp-content/uploads/2024/04/Galaxy-M55-review-software-2-720x405.jpg,2024-05-29T15:42:33Z,"The Google app for Androids Discover section gives you the option to see four cards: Air quality, Finance, Sport, and Weather. Well, Google has now added one more card to the Discover section of the … [+823 chars]",2024-05-29
"{'id': None, 'name': 'Forbes'}","Rob Kaplan, Contributor, 
 Rob Kaplan, Contributor
 https://www.forbes.com/sites/robkaplan/",Seizing The Moment On A Global Plastics Treaty: Finding The Common Ground To Mobilize Private Capital,Getting a global plastics agreement – even to a minimum set of standards and policies – would be a huge win towards unlocking investment.,https://www.forbes.com/sites/robkaplan/2024/06/21/seizing-the-moment-on-a-global-plastics-treaty-finding-the-common-ground-to-mobilize-private-capital/,https://imageio.forbes.com/specials-images/imageserve/6675758226d44e52868c475e/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-06-21T12:49:32Z,"The Investor View of the 170+ Countries Attempting to Do Whats Never Been Done
This spring, 170+ countries came together in Ottawa to push forward with a comprehensive plastics treaty that could tur… [+7327 chars]",2024-06-21
"{'id': None, 'name': 'Techreport.com'}",Lora Pance,The Digital Currency Dilemma – Will CBDCs Revolutionize Finance or Flop?,"Since the first retail CBDC, the Sand Dollar, launched in the Bahamas in 2019, governments across the globe have been actively exploring the digitalization path. Last month, Bundesbank president Joachim...
The post The Digital Currency Dilemma – Will CBDCs Re…",https://techreport.com/crypto-news/digital-currency-dilemma-will-cbdcs-revolutionize-finance-or-flop/,https://techreport.com/wp-content/uploads/2024/06/digital-currency-dilemma-will-cbdcs-revolutionize-finance-or-flop.png?_t=1718887569,2024-06-20T12:46:08Z,"Since the first retail CBDC, the Sand Dollar, launched in the Bahamas in 2019, governments across the globe have been actively exploring the digitalization path.
Last month, Bundesbank president Joa… [+5383 chars]",2024-06-20
"{'id': 'cbc-news', 'name': 'CBC News'}",,Bad math and missing millions: Why the Toronto airport gold heist is far from solved,"The theft of 400 kilograms of gold from Toronto's Pearson Airport in April 2023 played out like a Hollywood movie. But even after police charged 12 men in connection with the heist, tens of millions in gold is still missing, raising the question of whether in…",https://www.cbc.ca/news/canada/toronto-gold-heist-questions-india-1.7238601,https://i.cbc.ca/1.7238751.1718824144!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/small-replica-gold-bar.jpg,2024-06-20T08:00:46Z,"The 400 kilograms of stolen gold disappeared from view on a country road outside Toronto, somewhere past a golf course and an apple orchard.
In the days after the brazen April 2023 robbery at Pearso… [+10244 chars]",2024-06-20
"{'id': 'cbc-news', 'name': 'CBC News'}",,PM Modi has been humbled by India's election results. What's next?,"India's general election saw Prime Minister Narendra Modi’s Bharatiya Janata Party lose more than 60 seats. Now, the once-dominant leader is at the mercy of his political allies, whom he will have to learn to negotiate with for the next five years in a delica…",https://www.cbc.ca/news/world/modi-india-election-what-s-next-1.7231844,https://i.cbc.ca/1.7232133.1718150768!/fileImage/httpImage/image.JPG_gen/derivatives/16x9_620/india-election-modi.JPG,2024-06-13T08:00:00Z,"The swearing-in ceremony on Sunday for India's leader was grand. Scores of flowers adorned the stage of New Delhi's presidential palace, and thousands of guests were in attendance. 
But a more muted… [+6331 chars]",2024-06-13
"{'id': None, 'name': 'Yahoo Entertainment'}",editorial-team@simplywallst.com (Simply Wall St),Examining 3 SGX Dividend Stocks With Yields Up To 9.6%,"As the global finance industry stands on the brink of transformation with AI technologies poised to redefine operational landscapes and profitability, the...",https://finance.yahoo.com/news/examining-3-sgx-dividend-stocks-000626662.html,https://media.zenfs.com/en/simply_wall_st__316/36c6840dc76edf99f4dd4c6af7e086b2,2024-06-21T00:06:26Z,"As the global finance industry stands on the brink of transformation with AI technologies poised to redefine operational landscapes and profitability, the Singapore market continues its steady perfor… [+5435 chars]",2024-06-21
"{'id': None, 'name': 'Courrier International'}",,Dans la cuisine d’un Prix Nobel,"Le quotidien indien “The Times of India” publie chaque mois les chroniques de l’économiste Abhijit Banerjee, mêlant théories économiques, observations sur la société indienne et recettes de cuisine.",https://www.courrierinternational.com/article/le-courrier-des-recettes-dans-la-cuisine-d-un-prix-nobel,https://focus.courrierinternational.com/2024/05/29/0/18/2011/1341/1200/630/60/0/cf7d6ae_1716994478988-000-hkg2005080277508.jpg,2024-06-01T03:00:16Z,"Certains font des économies, dautres du shami.Le récit commence par le souvenir dun voyage en train agrémenté de batata bhaji (un curry de pommes de terre), se poursuit par lévocation de léconomiste … [+3501 chars]",2024-06-01
"{'id': None, 'name': 'Atlassian.com'}",Angelo Macaraeg,Empowering organisations in India,"Atlassian Announces Local Data Residency Program
The post Empowering organisations in India appeared first on Work Life by Atlassian.",https://www.atlassian.com/blog/enterprise/empowering-orgs-india,https://www.atlassian.com/blog/wp-content/uploads/2024/05/csd-9564-blog_big-stat_740x370.png,2024-05-22T21:26:56Z,"As India continues to operate as a driving force in the tech industry, locally-based enterprises now have an opportunity to strengthen their upper hand. Until now, the evolution of SaaS solutions and… [+9851 chars]",2024-05-22
"{'id': None, 'name': 'Yahoo Entertainment'}",editorial-team@simplywallst.com (Simply Wall St),3 Indian Exchange Growth Stocks With Insider Ownership As High As 39%,"The Indian market has shown robust performance, rising 2.3% over the last week and achieving a remarkable 45% growth over the past year, with earnings...",https://finance.yahoo.com/news/3-indian-exchange-growth-stocks-010354229.html,https://media.zenfs.com/en/simply_wall_st__316/1d405932ab06ff458a2892e2e6f5b19b,2024-06-19T01:03:54Z,"The Indian market has shown robust performance, rising 2.3% over the last week and achieving a remarkable 45% growth over the past year, with earnings expected to grow by 16% annually. In such a thri… [+5647 chars]",2024-06-19
"{'id': None, 'name': 'Forbes'}","Suzanne Rowan Kelleher, Forbes Staff, 
 Suzanne Rowan Kelleher, Forbes Staff
 https://www.forbes.com/sites/suzannerowankelleher/",Thailand Relaxes Its Visa Program: Longer Stays For Tourists And Digital Nomads,"Thailand's new initiative will allow travelers from 93 countries to stay up to 60 days, and relax rules for digital nomads, students and retirees.",https://www.forbes.com/sites/suzannerowankelleher/2024/05/30/thailand-relax-visa-program-longer-stays-tourists-digital-nomads/,"https://imageio.forbes.com/specials-images/imageserve/66587c1e45e5cd45adb5558c/0x0.jpg?format=jpg&crop=3302,1970,x0,y0,safe&height=900&width=1600&fit=bounds",2024-05-30T14:48:23Z,"Thailand is pulling out the stops to attract more tourists from a larger pool of countries and for longer stays.
getty
This week, Thailands government announced that it is significantly relaxing it… [+2616 chars]",2024-05-30
"{'id': None, 'name': 'Forbes'}","Jonathan Burgos, Forbes Staff, 
 Jonathan Burgos, Forbes Staff
 https://www.forbes.com/sites/jonathanburgos/","Casino Tycoon Lim Kok Thay’s Genting To Invest $1 Billion In China, Indonesia Energy Projects",Malaysian casino billionaire Lim Kok Thay’s Genting will invest over $1 billion in clean energy projects across China and Indonesia as it seeks to accelerate its transition from coal.,https://www.forbes.com/sites/jonathanburgos/2024/06/20/casino-tycoon-lim-kok-thays-genting--to-invest-1-billion-in-china-indonesia-energy-projects/,https://imageio.forbes.com/specials-images/imageserve/667418939ff98fb712ff87aa/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-06-20T12:13:33Z,"Lim Kok Thay, chairman and chief executive officer of Genting Bhd., speaks at a ceremony marking the ... [+] soft opening of Genting Singapore Plc's Resorts World Sentosa casino in Singapore, on Sund… [+2334 chars]",2024-06-20
"{'id': None, 'name': 'Tabnak.ir'}",info@tabnak.ir,Iran calls India ‘major partner’,Iranian says India has turned to be its ‘major partner’ as Tehran presses ahead with its ‘looking east’ policies.,https://www.tabnak.ir/fa/news/1241539/iran-calls-india-‘major-partner’,https://www.tabnak.irhttps://cdn.tabnak.ir/files/fa/news/1403/3/19/1828106_513.jpg,2024-06-08T06:19:44Z,"TABNAK: Iranian First Vice-President Mohammad Mokhber in a message congratulated Indian President Narendra Modi over his victory in the parliamentary elections.
Mokhber in a message on Friday, descr… [+2974 chars]",2024-06-08
